,camps,addresses
0,5 Ammo Depot,"1.3728081, 103.6975257"
1,7 Ammo Depot,"1.345941366522019, 103.91284221598062"
2,Airforce Training Command,"Paya Lebar Airbase, 506 Airport Road Singapore 534395"
3,Amoy Quee,"461 Ang Mo Kio Street 66, Singapore 567754"
4,Bedok,"766 Upper East Coast Road, Singapore 465556"
5,Bukit Gombak (ADOC),"54 Gombak Rise, Singapore 667988"
6,Bukit Panjang,"308 Gombak Dr, Singapore 669646"
7,Changi Airbase East,"221 Changi E Dr, Singapore 498799"
8,Changi Airbase West,"508 Cranwell Road, 509863"
9,Changi Naval Base,"210 Tanah Merah Coast Rd, Singapore 498805"
10,Chong Pang,"481 Sembawang Rd, Singapore 757629"
11,Chua Chu Kang,"300 Lor Danau, Singapore 637661"
12,Clementi,"26 Clementi Loop, Singapore 129817"
13,Depot Road,"3 Depot Rd, Singapore 109680"
14,Dieppe Barracks,"325 Sembawang Rd, Singapore 757758"
15,Gombak Base,"303 Gombak Dr, Singapore 669645"
16,Hendon,"6 Old Pier Rd, Singapore 508487"
17,Hillview,"303 Gombak Dr, Singapore 669645"
18,Jurong 1,"106 Upper Jurong Rd, Singapore 638360"
19,Jurong 2,"29 Jurong West Street 91, Singapore 649042"
20,Kaki Bukit,"17 Kaki Bukit Ave 4, Singapore 415927"
21,Keat Hong,"611 Old Choa Chu Kang Rd, Singapore 638930"
22,Khatib,"302 Sembawang Rd, Level 1, Blk 5, Singapore 758534"
23,Kranji 2,"91 Choa Chu Kang Wy, Singapore 688251"
24,Kranji 3,"151 Choa Chu Kang Wy, Western Water, Singapore 688248"
25,Lim Chu Kang 2,"20 Old Lim Chu Kang Rd, Singapore 708976"
26,Maju,"Maju Dr, Singapore 596303"
27,"450 Mandai Road, Singapore 729755","465 Mandai Rd, Singapore 729756"
28,Mandai 2,"101 Mandai Quarry Rd, Singapore 728681"
29,Mandai Hill,300 Pasir Laba Road
30,Mandai West,"24 Lor Serambi, Murai Camp Pass Office, Singapore 708972"
31,MMRC,"30 Admiralty Road West, Singapore 759958"
32,"10 Mowbray Rd, Singapore 688255","565 Transit Rd, Singapore 778895"
33,Mowbray/SAFDB,"122 Pasir Laba Rd, Singapore 637900"
34,Murai,"1.3385957, 103.6594541"
35,Naval Diving Unit,"31 Pasir Ris Coast Industrial Park 3, Singapore 518230"
36,Nee Soon,"Paya Lebar Airbase, 506 Airport Road Singapore 534395"
37,"210 Sembawang Rd, Singapore 779113","1.368586972027489, 103.92355492900087"
38,Nee Soon Driclad,"SAF Ferry Terminal, O Nicoll Drive, Singapore 498985"
39,Pasir Laba,"501 Rifle Range Rd, Singapore 588399"
40,Pasir Laba Ammo Depot,"1 Selarang Ring Rd, Singapore 507087"
41,Pasir Ris,"Piccadilly Road, Singapore 797778"
42,Paya Lebar Airbase,"30 Admiralty Road West, Singapore 759958"
43,Paya Lebar Ammo Depot,"Sembawang Road, Singapore 758534"
44,Pulau Tekong,"Stagmont Road, Singapore 688794"
45,Rifle Range,"430 Sungei Gedong Road Rd, Singapore 718916"
46,"500 Upper Jurong Rd, Singapore 638364","760 Old Choa Chu Kang Rd, Singapore 699806"
47,SAFTI,"1.3740556, 103.7144685"
48,Selarang,"104 Pioneer Sector 2, Singapore 628399"
49,Seletar,111
50,Sembawang,111
51,Sembawang Airbase,111
52,Stagmont,111
53,Sungei Gedong,111
54,Tengah Airbase,111
55,Tengah Ammo Depot,111
56,Tuas Naval Base,111
