,Camp,Postal Code,Address,Latitude,Longitude,Radius
0,5 Ammo Depot,,"1.3728081, 103.6975257",1.3728081,103.6975257,
1,7 Ammo Depot,,"1.345941366522019, 103.91284221598062",,,
2,Airforce Training Command,534395,"Paya Lebar Airbase, 506 Airport Road Singapore 534395",,,
3,Amoy Quee,567754,"461 Ang Mo Kio Street 66, Singapore 567754",,,
4,Bedok,465556,"766 Upper East Coast Road, Singapore 465556",,,
5,Bukit Gombak (ADOC),667988,"54 Gombak Rise, Singapore 667988",,,
6,Bukit Panjang,669646,"308 Gombak Dr, Singapore 669646",,,
7,Changi Airbase East,498799,"221 Changi E Dr, Singapore 498799",,,
8,Changi Airbase West,,"508 Cranwell Road, 509863",,,
9,Changi Naval Base,498805,"210 Tanah Merah Coast Rd, Singapore 498805",,,
10,Chong Pang,757629,"481 Sembawang Rd, Singapore 757629",,,
11,Chua Chu Kang,637661,"300 Lor Danau, Singapore 637661",,,
12,Clementi,129817,"26 Clementi Loop, Singapore 129817",,,
13,Depot Road,109680,"3 Depot Rd, Singapore 109680",,,
14,Dieppe Barracks,757758,"325 Sembawang Rd, Singapore 757758",,,
15,Gombak Base,669645,"303 Gombak Dr, Singapore 669645",,,
16,Hendon,508487,"6 Old Pier Rd, Singapore 508487",,,
17,Hillview,669645,"303 Gombak Dr, Singapore 669645",,,
18,Jurong 1,638360,"106 Upper Jurong Rd, Singapore 638360",,,
19,Jurong 2,649042,"29 Jurong West Street 91, Singapore 649042",,,
20,Kaki Bukit,415927,"17 Kaki Bukit Ave 4, Singapore 415927",,,
21,Keat Hong,638930,"611 Old Choa Chu Kang Rd, Singapore 638930",,,
22,Khatib,758534,"302 Sembawang Rd, Level 1, Blk 5, Singapore 758534",,,
23,Kranji 2,688251,"91 Choa Chu Kang Wy, Singapore 688251",,,
24,Kranji 3,688248,"151 Choa Chu Kang Wy, Western Water, Singapore 688248",,,
25,Lim Chu Kang 2,708976,"20 Old Lim Chu Kang Rd, Singapore 708976",,,
26,Maju,596303,"Maju Dr, Singapore 596303",,,
27,Mandai 2,729756,"465 Mandai Rd, Singapore 729756",,,
28,Mandai Hill,729755,"450 Mandai Road, Singapore 729755",,,
29,Mandai West,728681,"101 Mandai Quarry Rd, Singapore 728681",,,
30,MMRC,,300 Pasir Laba Road,,,
31,Mowbray/SAFDB,688255,"10 Mowbray Rd, Singapore 688255",,,
32,Murai,708972,"24 Lor Serambi, Murai Camp Pass Office, Singapore 708972",,,
33,Naval Diving Unit,759958,"30 Admiralty Road West, Singapore 759958",,,
34,Nee Soon,778895,"565 Transit Rd, Singapore 778895",,,
35,Nee Soon Driclad,779113,"210 Sembawang Rd, Singapore 779113",,,
36,Pasir Laba,637900,"122 Pasir Laba Rd, Singapore 637900",,,
37,Pasir Laba Ammo Depot,,"1.3385957, 103.6594541",,,
38,Pasir Ris,518230,"31 Pasir Ris Coast Industrial Park 3, Singapore 518230",,,
39,Paya Lebar Airbase,534395,"Paya Lebar Airbase, 506 Airport Road Singapore 534395",,,
40,Paya Lebar Ammo Depot,,"1.368586972027489, 103.92355492900087",,,
41,Pulau Tekong,498985,"SAF Ferry Terminal, 0 Nicoll Drive, Singapore 498985",,,
42,Rifle Range,588399,"501 Rifle Range Rd, Singapore 588399",,,
43,SAFTI MI,638364,"500 Upper Jurong Rd, Singapore 638364",,,
44,Selarang,507087,"1 Selarang Ring Rd, Singapore 507087",,,
45,Seletar,797778,"Piccadilly Road, Singapore 797778",,,
46,Sembawang,759958,"30 Admiralty Road West, Singapore 759958",,,
47,Sembawang Airbase,758534,"Sembawang Road, Singapore 758534",,,
48,Stagmont,688794,"Stagmont Road, Singapore 688794",,,
49,Sungei Gedong,718916,"430 Sungei Gedong Road Rd, Singapore 718916",,,
50,Tengah Airbase,699806,"760 Old Choa Chu Kang Rd, Singapore 699806",,,
51,Tengah Ammo Depot,,"1.3740556, 103.7144685",,,
52,Tuas Naval Base,628399,"104 Pioneer Sector 2, Singapore 628399",,,
