,camps,Address,lat,long,Radius,dist from nearest cluster,dist < 150?,nearest cluster
0,5 Ammo Depot,"1.3728081, 103.6975257",1.372807,103.697426,213.79,50,no,nil
1,7 Ammo Depot,"1.345941366522019, 103.91284221598062",1.345829,103.912812,336.83,50,no,nil
2,Airforce Training Command,"Paya Lebar Airbase, 506 Airport Road Singapore 534395",1.34328,103.899917,510.11,50,no,nil
3,Amoy Quee,"461 Ang Mo Kio Street 66, Singapore 567754",1.38188,103.853111,799.28,50,no,nil
4,Bedok,"766 Upper East Coast Road, Singapore 465556",1.316894,103.954423,488.07,50,no,nil
5,Bukit Gombak (ADOC),"54 Gombak Rise, Singapore 667988",1.366285,103.756627,550.5,50,no,nil
6,Bukit Panjang,"308 Gombak Dr, Singapore 669646",1.372506,103.757915,607.36,50,no,nil
7,Changi Airbase East,"221 Changi E Dr, Singapore 498799",1.340119,104.010315,2914.7,50,no,nil
8,Changi Airbase West,"508 Cranwell Road, 509863",1.379549,103.985629,1065.02,50,no,nil
9,Changi Naval Base,"210 Tanah Merah Coast Rd, Singapore 498805",1.318883,104.025197,1198.75,50,no,nil
10,Chong Pang,"481 Sembawang Rd, Singapore 757629",1.430442,103.825286,622.97,50,no,nil
11,Chua Chu Kang,"300 Lor Danau, Singapore 637661",1.353789,103.678785,397.01,50,no,nil
12,Clementi,"26 Clementi Loop, Singapore 129817",1.331131,103.761688,403.34,50,no,nil
13,Depot Road,"3 Depot Rd, Singapore 109680",1.279921,103.81519,352.57,50,no,nil
14,Dieppe Barracks,"325 Sembawang Rd, Singapore 757758",1.423188,103.819539,798.33,50,no,nil
15,Gombak Base,"303 Gombak Dr, Singapore 669645",1.372634,103.75911,694.79,50,no,nil
16,Hendon,"6 Old Pier Rd, Singapore 508487",1.384464,103.975296,700.61,50,no,nil
17,Hillview,"303 Gombak Dr, Singapore 669645",1.371151,103.760963,329.43,50,no,nil
18,Jurong 1,"106 Upper Jurong Rd, Singapore 638360",1.334344,103.68737,584.93,50,no,nil
19,Jurong 2,"29 Jurong West Street 91, Singapore 649042",1.338441,103.684216,403.44,50,no,nil
20,Kaki Bukit,"17 Kaki Bukit Ave 4, Singapore 415927",1.341321,103.906341,423.02,50,no,nil
21,Keat Hong,"611 Old Choa Chu Kang Rd, Singapore 638930",1.371523,103.716796,433.14,50,no,nil
22,Khatib,"302 Sembawang Rd, Level 1, Blk 5, Singapore 758534",1.422842,103.828449,489.83,50,no,nil
23,Kranji 2,"91 Choa Chu Kang Wy, Singapore 688251",1.401247,103.739475,599,50,no,nil
24,Kranji 3,"151 Choa Chu Kang Wy, Western Water, Singapore 688248",1.407232,103.73808,873.61,50,no,nil
25,Lim Chu Kang 2,"20 Old Lim Chu Kang Rd, Singapore 708976",1.376123,103.699067,516.01,50,no,nil
26,Maju,"Maju Dr, Singapore 596303",1.328962,103.771672,570.3,50,no,nil
27,Mandai 2,"465 Mandai Rd, Singapore 729756",1.408407,103.769073,430.85,50,no,nil
28,Mandai Hill,"450 Mandai Road, Singapore 729755",1.40853,103.774475,394.93,50,no,nil
29,Mandai West,"101 Mandai Quarry Rd, Singapore 728681",1.407407,103.763783,465.43,50,no,nil
30,MMRC,300 Pasir Laba Road,1.337783,103.67157,289.19,50,no,nil
