,camps,Address,lat,long,Radius,dist betw centre and nearest cluster,dist from edge < 150?,nearest cluster
13,Depot Road,"3 Depot Rd, Singapore 109680",1.279921,103.81519,352.57,0.11,YES,Depot Road (Blk 112A)
2,Airforce Training Command,"Paya Lebar Airbase, 506 Airport Road Singapore 534395",1.34328,103.899917,510.11,0.5,YES,Defu South Street 1
47,Sembawang Airbase,"Sembawang Road, Singapore 758534",1.427695,103.813514,1740.69,1.7,YES,Woodlands Ring Road (Blk 640)
10,Chong Pang,"481 Sembawang Rd, Singapore 757629",1.430442,103.825286,622.97,0.46,YES,Yishun Ring Road (Blk 109)
16,Hendon,"6 Old Pier Rd, Singapore 508487",1.384464,103.975296,700.61,0.15,YES,Pasir Ris Drive 6 (Blk 417)
39,Paya Lebar Airbase,"Paya Lebar Airbase, 506 Airport Road Singapore 534395",1.360067,103.907621,2318.92,1.49,YES,Hougang Street 32 (Blk 377B)
30,MMRC,300 Pasir Laba Road,1.337783,103.67157,289.19,2.68,no,Jurong West Street 93 (Blk 988B)
31,Mowbray/SAFDB,"10 Mowbray Rd, Singapore 688255",1.398101,103.740453,314.63,1.44,no,Choa Chu Kang Avenue 4 (Blk 435)
32,Murai,"24 Lor Serambi, Murai Camp Pass Office, Singapore 708972",1.392349,103.699991,1189.7,4.37,no,Jurong West Street 25 (Blk 276A)
33,Naval Diving Unit,"30 Admiralty Road West, Singapore 759958",1.46697,103.817902,737.6,1.17,no,Admiralty Link (Blk 484)
34,Nee Soon,"565 Transit Rd, Singapore 778895",1.41043,103.814299,819.48,2.95,no,Yishun Ring Road (Blk 108)
35,Nee Soon Driclad,"210 Sembawang Rd, Singapore 779113",1.408177,103.818998,373.41,2.91,no,Yishun Ring Road (Blk 138)
36,Pasir Laba,"122 Pasir Laba Rd, Singapore 637900",1.334694,103.672986,624.7,2.52,no,Jurong West Street 93 (Blk 988B)
37,Pasir Laba Ammo Depot,"1.3385957, 103.6594541",1.3385957,103.6594541,216.63,3.62,no,Gul Road
38,Pasir Ris,"31 Pasir Ris Coast Industrial Park 3, Singapore 518230",1.39403,103.933108,510.48,1.35,no,Pasir Ris Street 72 (Blk 718)
0,5 Ammo Depot,"1.3728081, 103.6975257",1.372807,103.697426,213.79,2.28,no,Jurong West Street 25 (Blk 276A)
29,Mandai West,"101 Mandai Quarry Rd, Singapore 728681",1.407407,103.763783,465.43,3.42,no,Gangsa Road (Blk 165)
41,Pulau Tekong,"SAF Ferry Terminal, 0 Nicoll Drive, Singapore 498985",1.416122,104.055665,5448.33,9.73,no,Pasir Ris Drive 6 (Blk 417)
42,Rifle Range,"501 Rifle Range Rd, Singapore 588399",1.354522,103.788511,250.59,2.24,no,Martaban Road (Ecoville)
43,SAFTI MI,"500 Upper Jurong Rd, Singapore 638364",1.334059,103.680984,713.86,1.65,no,Jurong West Street 93 (Blk 988B)
44,Selarang,"1 Selarang Ring Rd, Singapore 507087",1.369962,103.975962,613.57,1.65,no,Pasir Ris Drive 6 (Blk 417)
45,Seletar,"Piccadilly Road, Singapore 797778",1.412149,103.87982,1325.17,1.63,no,Seletar North Link
46,Sembawang,"30 Admiralty Road West, Singapore 759958",1.46746,103.816271,556.28,1.19,no,Admiralty Link (Blk 484)
48,Stagmont,"Stagmont Road, Singapore 688794",1.386835,103.75093,460.75,1.11,no,Choa Chu Kang Avenue 4 (Blk 435)
49,Sungei Gedong,"430 Sungei Gedong Road Rd, Singapore 718916",1.420341,103.694227,726.25,6.51,no,Choa Chu Kang Avenue 4 (Blk 435)
50,Tengah Airbase,"760 Old Choa Chu Kang Rd, Singapore 699806",1.387342,103.707178,1700.53,3.64,no,Choa Chu Kang Avenue 4 (Blk 438)
40,Paya Lebar Ammo Depot,"1.368586972027489, 103.92355492900087",1.368467,103.92388,195.67,1.67,no,Pasir Ris Street 71 (Blk 779)
28,Mandai Hill,"450 Mandai Road, Singapore 729755",1.40853,103.774475,394.93,2.79,no,Woodlands Avenue 1 (Blk 352)
26,Maju,"Maju Dr, Singapore 596303",1.328962,103.771672,570.3,1.68,no,Jalan Rajawali (Royal Court)
51,Tengah Ammo Depot,"1.3740556, 103.7144685",1.376607,103.712462,374.02,2.65,no,Jurong West Street 42 (Blk 547)
1,7 Ammo Depot,"1.345941366522019, 103.91284221598062",1.345829,103.912812,336.83,1.71,no,Defu South Street 1
3,Amoy Quee,"461 Ang Mo Kio Street 66, Singapore 567754",1.38188,103.853111,799.28,1.02,no,Ang Mo Kio Avenue 10 (Blk 437)
4,Bedok,"766 Upper East Coast Road, Singapore 465556",1.316894,103.954423,488.07,3.32,no,Hougang Street 32 (Parc Vera)
5,Bukit Gombak (ADOC),"54 Gombak Rise, Singapore 667988",1.366285,103.756627,550.5,1.36,no,Gangsa Road (Blk 154)
6,Bukit Panjang,"308 Gombak Dr, Singapore 669646",1.372506,103.757915,607.36,0.85,no,Gangsa Road (Blk 154)
7,Changi Airbase East,"221 Changi E Dr, Singapore 498799",1.340119,104.010315,2914.7,5.94,no,Hougang Street 32 (Parc Vera)
8,Changi Airbase West,"508 Cranwell Road, 509863",1.379549,103.985629,1065.02,1.41,no,Pasir Ris Drive 6 (Blk 417)
9,Changi Naval Base,"210 Tanah Merah Coast Rd, Singapore 498805",1.318883,104.025197,1198.75,8.15,no,Hougang Street 32 (Parc Vera)
11,Chua Chu Kang,"300 Lor Danau, Singapore 637661",1.353789,103.678785,397.01,2.61,no,Jurong West Street 25 (Blk 275B)
12,Clementi,"26 Clementi Loop, Singapore 129817",1.331131,103.761688,403.34,1.1,no,Bukit Batok Street 23
14,Dieppe Barracks,"325 Sembawang Rd, Singapore 757758",1.423188,103.819539,798.33,1.47,no,Yishun Ring Road (Blk 109)
15,Gombak Base,"303 Gombak Dr, Singapore 669645",1.372634,103.75911,694.79,0.72,no,Gangsa Road (Blk 154)
17,Hillview,"303 Gombak Dr, Singapore 669645",1.371151,103.760963,329.43,0.64,no,Gangsa Road (Blk 154)
18,Jurong 1,"106 Upper Jurong Rd, Singapore 638360",1.334344,103.68737,584.93,0.95,no,Jurong West Street 93 (Blk 988B)
19,Jurong 2,"29 Jurong West Street 91, Singapore 649042",1.338441,103.684216,403.44,1.29,no,Jurong West Street 93 (Blk 988B)
20,Kaki Bukit,"17 Kaki Bukit Ave 4, Singapore 415927",1.341321,103.906341,423.02,1.17,no,Defu South Street 1
21,Keat Hong,"611 Old Choa Chu Kang Rd, Singapore 638930",1.371523,103.716796,433.14,2.08,no,Jurong West Street 42 (Blk 547)
22,Khatib,"302 Sembawang Rd, Level 1, Blk 5, Singapore 758534",1.422842,103.828449,489.83,1.01,no,Yishun Ring Road (Blk 138)
23,Kranji 2,"91 Choa Chu Kang Wy, Singapore 688251",1.401247,103.739475,599.0,1.8,no,Choa Chu Kang Avenue 4 (Blk 435)
24,Kranji 3,"151 Choa Chu Kang Wy, Western Water, Singapore 688248",1.407232,103.73808,873.61,2.48,no,Choa Chu Kang Avenue 4 (Blk 435)
25,Lim Chu Kang 2,"20 Old Lim Chu Kang Rd, Singapore 708976",1.376123,103.699067,516.01,2.59,no,Jurong West Street 25 (Blk 276A)
27,Mandai 2,"465 Mandai Rd, Singapore 729756",1.408407,103.769073,430.85,3.09,no,Woodlands Avenue 1 (Blk 352)
52,Tuas Naval Base,"104 Pioneer Sector 2, Singapore 628399",1.293282,103.662269,517.3,1.52,no,Gul Road
