,place,lat,long
0,Ang Mo Kio Avenue 1 (Blk 304),1.357303,103.855331
1,Ang Mo Kio Avenue 1 (Blk 305),1.3662005,103.8460886
2,Ang Mo Kio Avenue 1 (Blk 306),1.3658406,103.8453573
3,Ang Mo Kio Avenue 1 (Blk 307A),1.3660664,103.8444576
4,Ang Mo Kio Avenue 1 (Blk 307B),1.3661779,103.844993
5,Ang Mo Kio Avenue 1 (Blk 307C),1.365817,103.845442
6,Ang Mo Kio Avenue 1 (Blk 308A),1.3646862,103.8479769
7,Ang Mo Kio Avenue 1 (Blk 308B),1.36572,103.844883
8,Ang Mo Kio Avenue 1 (Blk 310A),1.364541,103.8439714
9,Ang Mo Kio Avenue 1 (Blk 310B),1.3647479,103.844284
10,Ang Mo Kio Avenue 1 (Blk 310C),1.3646501,103.8448577
11,Ang Mo Kio Avenue 1 (Blk 319),1.3649906,103.8479057
12,Ang Mo Kio Avenue 1 (Blk 321),1.3650981,103.8483943
13,Ang Mo Kio Avenue 1 (Blk 339),1.3654249,103.8489804
14,Ang Mo Kio Avenue 3 (Blk 301),1.3674211,103.8459036
15,Ang Mo Kio Avenue 3 (Blk 302),1.3666622,103.846161
16,Ang Mo Kio Avenue 3 (Blk 311),1.366628,103.848772
17,Ang Mo Kio Avenue 3 (Blk 312),1.3662058,103.8487787
18,Ang Mo Kio Avenue 3 (Blk 313),1.3686727,103.8443357
19,Ang Mo Kio Avenue 3 (Blk 314),1.3686727,103.8443357
20,Ang Mo Kio Avenue 3 (Blk 324),1.368294,103.847065
21,Ang Mo Kio Avenue 3 (Blk 325),1.367829,103.847146
22,Ang Mo Kio Avenue 3 (Blk 326),1.3675131,103.848223
23,Ang Mo Kio Avenue 3 (Blk 327),1.367215,103.846478
24,Ang Mo Kio Avenue 3 (Blk 328),1.36662,103.84787
25,Ang Mo Kio Avenue 3 (Blk 329),1.3666466,103.8466046
26,Ang Mo Kio Avenue 3 (Blk 343),1.3684981,103.8490761
27,Ang Mo Kio Avenue 3 (Blk 345),1.3674912,103.8496386
28,Ang Mo Kio Avenue 3 (Blk 346),1.366734,103.848276
29,Ang Mo Kio Avenue 3 (Blk 348),1.366728,103.848249
30,Ang Mo Kio Street 31 (Blk 309A),1.3648671,103.8455716
31,Ang Mo Kio Street 31 (Blk 315A),1.364348,103.846788
32,Ang Mo Kio Street 31 (Blk 315B),1.364125,103.847476
33,Ang Mo Kio Street 31 (Blk 316A),1.3646041,103.8469081
34,Ang Mo Kio Street 31 (Blk 317),1.3655271,103.8470293
35,Ang Mo Kio Avenue 3 (Blk 101),1.370214,103.839225
36,Ang Mo Kio Avenue 3 (Blk 102),1.3706163,103.8392427
37,Ang Mo Kio Avenue 3 (Blk 132),1.3713546,103.8423819
38,Ang Mo Kio Avenue 3 (Blk 133),1.369035,103.843618
39,Ang Mo Kio Avenue 4 (Blk 105),1.372383,103.837666
40,Ang Mo Kio Avenue 4 (Blk 106),1.3717527,103.8376101
41,Ang Mo Kio Avenue 4 (Blk 109),1.370149,103.837658
42,Ang Mo Kio Avenue 4 (Blk 112),1.3713254,103.8360746
43,Ang Mo Kio Avenue 4 (Blk 113),1.3717182,103.8359396
44,Ang Mo Kio Avenue 4 (Blk 114),1.372466,103.836016
45,Ang Mo Kio Avenue 4 (Blk 117),1.3736853,103.83548
46,Ang Mo Kio Avenue 4 (Blk 170),1.374061,103.836502
